Number|Description|Qty|Estimate Amount|Taxes|Replacement Cost Total|Age / Cond. / Life|Less Depreciation|Actual Cash Value|Paid|Estimated Remaining|Page Number
568|Tan Huay Peng, Fun with Chinese Characters 1|5.00 EA|$84.75|$7.10|$91.85|2y/Avg./ly|-$45.93|$45.92|$0.00|$45.93|31
569|Google, Android Toy|2.00 EA|$32.00|$2.68|$34.68|4.5y/ Avg. /2y|-$27.74|$6.94|$0.00|$27.74|31
570|Harry Barker, Bone Canvas Dog Toy|1.00 EA|$16.00|$1.34|$17.34|4y/Avg./5y|-$13.87|$3.47|$0.00|$13.87|31
571|Aiersa, Silicone Mold Peach Shape|4.00 EA|$63.96|$5.36|$69.32|4y/Avg./10y|-$27.72|$41.60|$0.00|$27.72|31
572|572, Bananagrams, Bananagrams Game|1.00 EA|$15.99|$1.34|$17.33|4.5y/ Avg. /5y|-$13.86|$3.47|$0.00|$13.86|31
573|Giantmicrobes Nueron plush|1.00 EA|$15.99|$1.34|$17.33|0.5y/ Avg./2y|-$4.34|$12.99|$0.00|$4.34|31
574|HICC Pet, Pet finger Dental Wipes|1.00 EA|$15.99|$1.34|$17.33|0.5y/ Avg. /5 y|-$1.73|$15.60|$0.00|$1.73|31
575|Carolyn Keene, Mystery of the Ivory Charm|10.00 EA|$158.90|$13.31|$172.21|5y/Avg./1y|-$86.11|$86.10|$0.00|$86.11|31
576|Hasbro Gaming Taboo Game|1.00 EA|$15.59|$1.31|$16.90|2.5y/ Avg. /5y|-$8.46|$8.44|$0.00|$8.46|31
577|Min Hogg, Interiors|1.00 EA|$15.15|$1.27|$16.42|2y/Avg./ly|-$8.22|$8.20|$0.00|$8.22|31
578|Amscan, Party Streamers Swirls|6.00 EA|$90.00|$7.54|$97.54|2y/Avg./10y|-$19.51|$78.03|$0.00|$19.51|31
579|James E. Davison, The Year of the Bible|1.00 EA|$15.00|$1.26|$16.26|5 y/ Avg. / ly|-$8.13|$8.13|$0.00|$8.13|31
580|Goliath, Harry Potter Spellcasters|1.00 EA|$14.99|$1.26|$16.25|6y/Avg./5y|-$13.00|$3.25|$0.00|$13.00|31
581|Hobby Lobby, Punch Bowl|1.00 EA|$14.99|$1.26|$16.25|2y/Avg./20y|-$1.63|$14.62|$0.00|$1.63|31
582|Karol Ladd, Parties With a Purpose|1.00 EA|$14.99|$1.26|$16.25|2y/Avg./ly|-$8.13|$8.12|$0.00|$8.13|32
583|Meetory, 50 PCS Clear Plastic Label Holders|1.00 EA|$14.99|$1.26|$16.25|5 y/ Avg. /10 y|-$8.13|$8.12|$0.00|$8.13|32
584|Michaels, Cylinder Vase|2.00 EA|$29.98|$2.51|$32.49|2y/Avg./10y|-$6.50|$25.99|$0.00|$6.50|32
585|NCYP, Glass Frame etched with Artwork|1.00 EA|$14.99|$1.26|$16.25|2y/Avg./10y|-$3.25|$13.00|$0.00|$3.25|32
586|Professor PUZZLE, Moral Conflict Game|1.00 EA|$14.99|$1.26|$16.25|5.5y/ Avg. /5y|-$13.00|$3.25|$0.00|$13.00|32
587|Williams-Sonoma, The Instant Pot Cookbook|1.00 EA|$14.95|$1.25|$16.20|5y/Avg./5y|-$12.96|$3.24|$0.00|$12.96|32
588|Paper Mate, Pencil 72ct|1.00 EA|$14.09|$1.18|$15.27|3.5 y/ Avg. /10 y|-$5.34|$9.93|$0.00|$5.34|32
589|Base Camp, Hand-made Reusable Cotton Face Mask (2)|5.00 EA|$69.95|$5.86|$75.81|4y/Avg./10y|-$30.32|$45.49|$0.00|$30.32|32
590|GSE Games & Sports Expert, Billiard Table Rail Brush & Brush Set|1.00 EA|$13.99|$1.17|$15.16|6y/Avg./14y|-$6.50|$8.66|$0.00|$6.50|32
591|Lego, Engineering Notebook First League Jr|1.00 EA|$13.95|$1.17|$15.12|2y/Avg./ly|-$7.57|$7.55|$0.00|$7.57|32
592|Zazzle, Wine Glass Tag|1.00 EA|$13.70|$1.15|$14.85|1y/Avg./10y|-$1.49|$13.36|$0.00|$1.49|32
593|Darovly, 600Pcs Plastic Poker Mini Chips|1.00 EA|$13.60|$1.14|$14.74|4.5y/ Avg. /5y|-$11.79|$2.95|$0.00|$11.79|32
594|Member's Mark, Catering Tray with Covers 5 ct.|1.00 EA|$13.54|$1.13|$14.67|2y/Avg./10y|-$2.94|$11.73|$0.00|$2.94|32
595|Ball, Mason Jar 2pk|1.00 EA|$13.49|$1.13|$14.62|2y/Avg./10y|-$2.93|$11.69|$0.00|$2.93|32
596|Cassandra Clare, City of Ashes|10.00 EA|$129.90|$10.88|$140.78|5y/Avg./ly|-$70.39|$70.39|$0.00|$70.39|32
597|Dutch Blitz, Card Game|1.00 EA|$12.99|$1.09|$14.08|2.5y/ Avg. /5y|-$7.05|$7.03|$0.00|$7.05|32
598|Fairfield, Polyester Batting 4 OZ (48 in)|1.00 EA|$12.99|$1.09|$14.08|4y/Avg./10y|-$5.64|$8.44|$0.00|$5.64|32
599|Flat River Group, Dutch Blitz|1.00 EA|$12.99|$1.09|$14.08|5y/Avg./5y|-$11.26|$2.82|$0.00|$11.26|32
600|Lion, Yarn for Knitting & Crocheting spool)|20.00 EA|$259.80|$21.76|$281.56|4y/Avg./10y|-$112.62|$168.94|$0.00|$112.62|32
601|Teling, Jumbo Plastic Gift Bags|1.00 EA|$12.99|$1.09|$14.08|2y/Avg./10y|-$2.82|$11.26|$0.00|$2.82|32
602|X Protector, Felt Furniture Pads|25.00 EA|$324.75|$27.20|$351.95|4y/Avg./10y|-$140.78|$211.17|$0.00|$140.78|32
603|Celebrate It, Silicone Treat Mold|1.00 EA|$12.98|$1.09|$14.07|2y/Avg./10y|-$2.82|$11.25|$0.00|$2.82|32
604|KOHIENWO, Piggy Bank|3.00 EA|$38.70|$3.24|$41.94|1y/Avg./2y|-$20.97|$20.97|$0.00|$20.97|32
605|Bedtime Originals, Plush Monkey|6.00 EA|$71.94|$6.02|$77.96|2y/Avg./2y|-$62.37|$15.59|$0.00|$62.37|32
606|PERFQU, 40 Pcs Happy Halloween Treat Bags|2.00 EA|$23.98|$2.01|$25.99|1y/Avg./0y|-$0.00|$25.99|$0.00|$0.00|32
607|Vibrant Life, Dog Tooth Wipes|1.00 EA|$11.99|$1.00|$12.99|0.5y/Avg./5y|-$1.30|$11.69|$0.00|$1.30|32
608|Zasukol, Silicon Mold Fruits (4)|3.00 EA|$35.97|$3.01|$38.98|4y/Avg./10y|-$15.59|$23.39|$0.00|$15.59|33
609|Disney, My Picture Dictionary|1.00 EA|$11.47|$0.96|$12.43|5.5y/ Avg. /1y|-$6.22|$6.21|$0.00|$6.22|33
610|Jodi Picoult, Handle with Care|11.00 EA|$125.84|$10.54|$136.38|5y/Avg./1y|-$68.19|$68.19|$0.00|$68.19|33
611|Allen, Photo Mat|1.00 EA|$11.04|$0.92|$11.96|2.5 y/ Avg. /10 y|-$2.99|$8.97|$0.00|$2.99|33
612|Lyman Coleman, SERENDIPITY NEW TESTAMENT FOR GROUPS|1.00 EA|$11.00|$0.92|$11.92|6y/Avg./ly|-$5.96|$5.96|$0.00|$5.96|33
613|KONG, Dog Toy|8.00 EA|$87.92|$7.36|$95.28|4y/Avg./5y|-$76.23|$19.05|$0.00|$76.23|33
614|StylishBoutiquel 101 Beads Jewelry Kit19.99|1.00 EA|$10.99|$0.92|$11.91|4y/Avg./10y|-$4.77|$7.14|$0.00|$4.77|33
615|Sterling Publisher, Curtains Orig. Desc.- Sterling Publisher, Curtains & Blinds Yvonne Rees)|1.00 EA|$10.91|$0.91|$11.82|6y/Avg./ly|-$5.92|$5.90|$0.00|$5.92|33
616|Pressman, Checkers|1.00 EA|$10.89|$0.91|$11.80|2y/Avg./5y|-$4.72|$7.08|$0.00|$4.72|33
617|Tums, Chewable antacid tablets 96ct|1.00 EA|$10.67|$0.00|$10.67|0.5y/Avg./3y|-$1.78|$8.89|$0.00|$1.78|33
618|Staples, Currency Envelopes|1.00 EA|$10.59|$0.89|$11.48|1y/Avg./0y|-$0.00|$11.48|$0.00|$0.00|33
619|GoTo Foam, Round Foam Cushion|4.00 EA|$42.12|$3.53|$45.65|4y/Avg./5y|-$36.52|$9.13|$0.00|$36.52|33
620|Generic, Pouches (various desgins)|5.00 EA|$50.00|$4.19|$54.19|2y/Avg./0y|-$0.00|$54.19|$0.00|$0.00|33
621|Jimmy Hook, Wall Hook|1.00 EA|$10.00|$0.84|$10.84|5 y/ Avg. /10 y|-$5.42|$5.42|$0.00|$5.42|33
622|622, Staples, Basics Clear Pencil Case|2.00 EA|$20.00|$1.68|$21.68|2y/Avg./10y|-$4.34|$17.34|$0.00|$4.34|33
623|Ribbli, Ribbons in white Satin (10yd)|8.00 EA|$79.92|$6.69|$86.61|2y/Avg./20y|-$8.66|$77.95|$0.00|$8.66|33
624|Ribbli, Ribbons lin black Satin (10yd)|8.00 EA|$79.92|$6.69|$86.61|2y/Avg./20y|-$8.66|$77.95|$0.00|$8.66|33
625|At Home, Serving Tray|1.00 EA|$9.99|$0.84|$10.83|2y/Avg./20y|-$1.08|$9.75|$0.00|$1.08|33
626|Bodysac, Wallet|1.00 EA|$9.99|$0.84|$10.83|1y/Avg./4y|-$2.71|$8.12|$0.00|$2.71|33
627|DINGEE, Hooks|1.00 EA|$9.99|$0.84|$10.83|5 y/ Avg. /20 y|-$2.71|$8.12|$0.00|$2.71|33
628|Edwards Tools, Rubber Mallet|4.00 EA|$39.96|$3.35|$43.31|3 y/ Avg. /20 y|-$6.49|$36.82|$0.00|$6.49|33
629|Eugene H. Peterson, The Message Outreach Edition|1.00 EA|$9.99|$0.84|$10.83|6y/Avg./1y|-$5.42|$5.41|$0.00|$5.42|33
630|John Hunde Curteich (author), Cheesapeake Bridges & Tunnels (John Hunde)|1.00 EA|$9.99|$0.84|$10.83|9 y/ Avg. / ly|-$5.42|$5.41|$0.00|$5.42|33
631|Moonrest, Square Plain Cushion (16" X 16")|6.00 EA|$59.94|$5.02|$64.96|4y/Avg./20y|-$12.99|$51.97|$0.00|$12.99|33
632|Mixweer, Plastic Tablecover|3.00 EA|$29.97|$2.51|$32.48|1y/Avg./5y|-$6.49|$25.99|$0.00|$6.49|33
633|633 na, Novelty Playing Cards|4.00 EA|$39.96|$3.35|$43.31|4.5y/ Avg./5y|-$34.65|$8.66|$0.00|$34.65|33
634|634 na, Stuff Animals|20.00 EA|$199.80|$16.73|$216.53|4.5y/ Avg. /2y|-$173.22|$43.31|$0.00|$173.22|34
635|Sept of Sabah Museum, Kamus Bergambar (Jim Hohanson)|1.00 EA|$9.99|$0.84|$10.83|9y/Avg./1y|-$5.42|$5.41|$0.00|$5.42|34
636|SmartDeals Pro, Mahjong Chips|2.00 EA|$19.98|$1.67|$21.65|4.5y/ Avg. /5y|-$17.32|$4.33|$0.00|$17.32|34
637|Upsimple, Wooden Picture Frame (11"x 17")|3.00 EA|$29.97|$2.51|$32.48|4.5 y/ Avg. /10 y|-$14.62|$17.86|$0.00|$14.62|34
638|unknown, Cooking Book|2.00 EA|$19.98|$1.67|$21.65|6y/ Avg. /5 y|-$17.32|$4.33|$0.00|$17.32|34
639|WeDoSoy, Natural Sea Shells 3 to 4 inches|5.00 EA|$49.95|$4.18|$54.13|8 y/ Avg. /10 y|-$43.30|$10.83|$0.00|$43.30|34
640|Whaline, Red Packets|1.00 EA|$9.99|$0.84|$10.83|1.5 y/ Avg. /0 y|-$0.00|$10.83|$0.00|$0.00|34
641|ZUCNANA, Ball of Foot Cushions|1.00 EA|$9.99|$0.44|$10.43|2y/Avg./3y|-$6.95|$3.48|$0.00|$6.95|34
642|Clifford E. Isaacson, The Birth Order Effect|1.00 EA|$9.95|$0.83|$10.78|7y/Avg./ly|-$5.40|$5.38|$0.00|$5.40|34
643|ADVANTUS, Binder Pencil Pouch|4.00 EA|$38.40|$3.22|$41.62|2y/Avg./10y|-$8.32|$33.30|$0.00|$8.32|34
644|Sterlite, Qt Storage Box|12.00 EA|$113.88|$9.54|$123.42|5 y/ Avg. /10 y|-$61.71|$61.71|$0.00|$61.71|34
645|645, Sterlite, Qt Storage Box|12.00 EA|$113.88|$9.54|$123.42|5 y/ Avg. /10 y|-$61.71|$61.71|$0.00|$61.71|34
646|Royal Brites, Paper Doilies 12pk|1.00 EA|$9.10|$0.76|$9.86|2y/Avg./0y|-$0.00|$9.86|$0.00|$0.00|34
647|Aevdor, Photo Album 4x6|6.00 EA|$53.94|$4.52|$58.46|5.5 y/ Avg. /10 y|-$32.16|$26.30|$0.00|$32.16|34
648|Hefty, Disposable Cups - 80ct/16oz|1.00 EA|$8.99|$0.75|$9.74|2y/Avg./0y|-$0.00|$9.74|$0.00|$0.00|34
649|Party Makers, Clear Ice Bucket|1.00 EA|$8.99|$0.75|$9.74|2y/Avg./20y|-$0.98|$8.76|$0.00|$0.98|34
650|RERIVER, Dice Cup Set with 6 Dices|2.00 EA|$17.98|$1.51|$19.49|4.5y/ Avg. /5y|-$15.59|$3.90|$0.00|$15.59|34
651|Pen- Gear, Invitation Envelopes 50ct|4.00 EA|$35.88|$3.00|$38.88|1y/Avg./0y|-$0.00|$38.88|$0.00|$0.00|34
652|Staples, Booklet Envelopes|3.00 EA|$26.67|$2.23|$28.90|1y/Avg./0y|-$0.00|$28.90|$0.00|$0.00|34
653|Room Essentials, 15oz Plastic Serving Bowl|3.00 EA|$24.00|$2.01|$26.01|2y/Avg./20y|-$2.60|$23.41|$0.00|$2.60|34
654|Gift Express, Curling Ribbons Satin (25ft)|15.00 EA|$119.85|$10.04|$129.89|5.5 y/ Avg. /20 y|-$35.72|$94.17|$0.00|$35.72|34
655|Hiswan, Ribbons Organza 0.75 in (50yd)|7.00 EA|$55.93|$4.68|$60.61|2y/Avg./20y|-$6.06|$54.55|$0.00|$6.06|34
656|Party City, Gift Sac|1.00 EA|$7.99|$0.67|$8.66|1y/Avg./10y|-$0.87|$7.79|$0.00|$0.87|34
657|GSE Games & Sports Expert, Pool Cue Chalks 12pk|1.00 EA|$7.98|$0.67|$8.65|4y/Avg./10y|-$3.46|$5.19|$0.00|$3.46|34
658|Neville Steed, DIE-CAST|10.00 EA|$72.90|$6.11|$79.01|5y/Avg./ly|-$39.51|$39.50|$0.00|$39.51|34
659|Stewart, Martha, Gingerbread houses of Martha's Vineyard|3.00 EA|$21.00|$1.76|$22.76|5.5y/ Avg. /1y|-$11.38|$11.38|$0.00|$11.38|34
660|Kohls, Photo Album|7.00 EA|$48.93|$4.10|$53.03|5.5 y/ Avg. /10 y|-$29.16|$23.87|$0.00|$29.16|34
661|Mike Murdock, One Minute Pocket Bible for Teenagers|1.00 EA|$6.99|$0.59|$7.58|6y/Avg./1y|-$3.80|$3.78|$0.00|$3.80|35
662|FNGEEN, Stickers for Kids|3.00 EA|$20.55|$1.72|$22.27|1y/Avg./10y|-$2.23|$20.04|$0.00|$2.23|35
663|Scotch- Brite, Lint Brush|1.00 EA|$6.79|$0.57|$7.36|4y/Avg./10y|-$2.95|$4.41|$0.00|$2.95|35
664|Lingmin, Wine Card Identification|1.00 EA|$5.99|$0.50|$6.49|1.5 y/ Avg. /10 y|-$0.98|$5.51|$0.00|$0.98|35
665|CVS Health, Disinfecting Wipes|1.00 EA|$5.79|$0.48|$6.27|1y/Avg./0y|-$0.00|$6.27|$0.00|$0.00|35
666|Em & Friends, Empathy Card|10.00 EA|$50.00|$4.19|$54.19|5 y/ Avg. /10 y|-$27.10|$27.09|$0.00|$27.10|35
667|Mattel, Uno cards|1.00 EA|$5.00|$0.42|$5.42|4.5y/ Avg. /5y|-$4.34|$1.08|$0.00|$4.34|35
668|Room Essentials, Cube Storage Bin|40.00 EA|$200.00|$16.75|$216.75|4y/Avg./10y|-$86.70|$130.05|$0.00|$86.70|35
669|HABGP, 6Pcs Colored File Folders|1.00 EA|$4.99|$0.42|$5.41|1.5 y/ Avg. /10 y|-$0.81|$4.60|$0.00|$0.81|35
670|XLSFPY, 100PCS Cellophane Bags|5.00 EA|$24.95|$2.09|$27.04|1y/Avg./0y|-$0.00|$27.04|$0.00|$0.00|35
671|National Audubon Society|1.00 EA|$4.99|$0.42|$5.41|5.5y/ Avg. /ly|-$2.71|$2.70|$0.00|$2.71|35
672|American Greetings, Party Invitations with Envelopes, 20ct|8.00 EA|$39.84|$3.34|$43.18|1 y/ Avg. /10 y|-$4.31|$38.87|$0.00|$4.31|35
673|Rubbermaid, Pitcher Plastic gal|2.00 EA|$9.94|$0.83|$10.77|2y/Avg./20y|-$1.07|$9.70|$0.00|$1.07|35
674|Glue Dots, Adhesive Roll, 300 Dots|1.00 EA|$4.88|$0.41|$5.29|1y/Avg. /10 y|-$0.53|$4.76|$0.00|$0.53|35
675|Up&Up,3 Ring Binder|1.00 EA|$4.69|$0.39|$5.08|2y/Avg./10y|-$1.02|$4.06|$0.00|$1.02|35
676|Bicycle, Playing card|1.00 EA|$3.99|$0.33|$4.32|1y/Avg./5y|-$0.87|$3.45|$0.00|$0.87|35
677|various vendors, Invitation Cards (various design)|60.00 EA|$239.40|$20.05|$259.45|2y/Avg./10y|-$51.89|$207.56|$0.00|$51.89|35
678|various vendors, Greeting Cards (various designs)|100.00 EA|$199.00|$16.67|$215.67|2y/Avg./10y|-$43.13|$172.54|$0.00|$43.13|35
679|Dinner Plate|1.00 EA|$3.99|$0.33|$4.32|2y/Avg./20y|-$0.43|$3.89|$0.00|$0.43|35
680|Crate & barrel, Tulip Ice Cream Dish|2.00 EA|$7.90|$0.66|$8.56|2y/Avg./10y|-$1.71|$6.85|$0.00|$1.71|35
681|Verzey, Dog bed|1.00 EA|$3.74|$0.31|$4.05|3 y/ Avg. /5 y|-$2.43|$1.62|$0.00|$2.43|35
682|Saunders, Clipboard|5.00 EA|$18.00|$1.51|$19.51|5.5 y/ Avg. /10 y|-$10.73|$8.78|$0.00|$10.73|35
683|GDMINLO, Soft Tape Measure|1.00 EA|$3.59|$0.30|$3.89|5 y/ Avg. /20 y|-$0.98|$2.91|$0.00|$0.98|35
684|Mead, Security Envelopes 40ct|1.00 EA|$3.15|$0.26|$3.41|1y/Avg./0y|-$0.00|$3.41|$0.00|$0.00|35
685|Celebrate It, Round Plastic Plate|1.00 EA|$3.00|$0.25|$3.25|2y/Avg./0y|-$0.00|$3.25|$0.00|$0.00|35
686|Generic, Gift Bag|100.00 EA|$300.00|$25.13|$325.13|1y/Avg./10y|-$32.51|$292.62|$0.00|$32.51|35
687|Party Invitations|1.00 EA|$3.00|$0.25|$3.25|by/Avg./10y|-$0.33|$2.92|$0.00|$0.33|35
688|Duck, Masking tape 60yd|1.00 EA|$0.00|$0.00|$0.00|3 y/ Avg. /10 y|-$0.00|$0.00|$0.00|$0.00|35
689|Ikea, KOSINGEN Box|4.00 EA|$11.96|$1.00|$12.96|5 y/ Avg. /10 y|-$6.48|$6.48|$0.00|$6.48|36
690|Kolorae, Ping Pong Balls 6 pc|2.00 EA|$5.98|$0.50|$6.48|4y/Avg./10y|-$2.59|$3.89|$0.00|$2.59|36
691|Party City, Balloon weights|4.00 EA|$11.96|$1.00|$12.96|2y/Avg./10y|-$2.59|$10.37|$0.00|$2.59|36
692|Staples, Pencils 8ct|4.00 EA|$11.96|$1.00|$12.96|2y/Avg./10y|-$2.59|$10.37|$0.00|$2.59|36
693|Scotch, Packaging Tape|2.00 EA|$5.94|$0.50|$6.44|1y/Avg./10y|-$0.64|$5.80|$0.00|$0.64|36
694|Cra-Z-Art, Markers, 10 Count|2.00 EA|$4.28|$0.36|$4.64|2y/Avg./10y|-$0.93|$3.71|$0.00|$0.93|36
695|Michaels, Acrylic Picture Frame|5.00 EA|$9.95|$0.83|$10.78|5y/Avg./10y|-$5.40|$5.38|$0.00|$5.40|36
696|Party Invitations|1.00 EA|$1.49|$0.12|$1.61|1y/Avg./0y|-$0.00|$1.61|$0.00|$0.00|36
697|Party Invitations|1.00 EA|$1.24|$0.10|$1.34|1y/Avg./0y|-$0.00|$1.34|$0.00|$0.00|36
698|Party Invitations|1.00 EA|$0.99|$0.08|$1.07|1y/Avg./0y|-$0.00|$1.07|$0.00|$0.00|36
699|Party Invitations|1.00 EA|$0.59|$0.05|$0.64|1y/Avg./0y|-$0.00|$0.64|$0.00|$0.00|36
2857|Various brands, Developed film allowance|1.00 EA|$250.00|$20.94|$270.94|0y/Avg./0y|-$0.00|$270.94|$0.00|$0.00|36
700|Dry food allowance|1.00 EA|$350.00|$29.31|$379.31|0 y/ Avg. /5 y|-$0.00|$379.31|$0.00|$0.00|36
701|Kate Spade, Hudson work tote|1.00 EA|$398.00|$33.33|$431.33|1.5 y/ Avg. /4 y|-$161.75|$269.58|$0.00|$161.75|36
702|Raymour & Flanigan, Scenic view dining bench|1.00 EA|$269.95|$22.61|$292.56|3 y/ Avg. /10 y|-$87.77|$204.79|$0.00|$87.77|36
703|Milwaukee, M18 Lithium Ion cordless jobsite radio/charger|1.00 EA|$249.00|$20.85|$269.85|3 y/ Avg. /10 y|-$80.96|$188.89|$0.00|$80.96|36
704|Ninja, Professional auto-iQ Cup 1000 watt food processor|1.00 EA|$199.99|$16.75|$216.74|2y/Avg./10y|-$43.35|$173.39|$0.00|$43.35|36
705|Keurig, K-cafe single server coffee latte & cappuccino maker|1.00 EA|$189.99|$15.91|$205.90|1.5 y/ Avg. /10 y|-$30.89|$175.01|$0.00|$30.89|36
706|Soyajoy, G5 8inl soy milk maker & soup maker|1.00 EA|$189.99|$15.91|$205.90|2y/Avg./10y|-$41.18|$164.72|$0.00|$41.18|36
707|Raymour & Flanigan, Colebrook dining chair|2.00 EA|$379.90|$31.82|$411.72|4y/Avg./10y|-$164.69|$247.03|$0.00|$164.69|36
708|Cutco, Santoku knife|1.00 EA|$174.28|$14.60|$188.88|3.5 y/ Avg./20 y|-$33.06|$155.82|$0.00|$33.06|36
709|Zojirushi, wcc30t Micom water boiler & warmer 3L|1.00 EA|$154.99|$12.98|$167.97|2.5 y/ Avg. /10 y|-$42.00|$125.97|$0.00|$42.00|36
710|Panasonic, Flash express toaster oven|1.00 EA|$149.99|$12.56|$162.55|4y/Avg./10y|-$65.02|$97.53|$0.00|$65.02|36
711|T-fal, Ice force, 1pcs knife block set|1.00 EA|$149.99|$12.56|$162.55|5 y/ Avg. /20 y|-$40.64|$121.91|$0.00|$40.64|36
712|Zorirushi, Rice cooker and warmer|1.00 EA|$147.49|$12.35|$159.84|3 y/ Avg. /10 y|-$47.96|$111.88|$0.00|$47.96|37
713|Olympus, Am-100 Compact 35mm point and shoot film camera|1.00 EA|$142.00|$11.89|$153.89|6y/Avg./20y|-$46.17|$107.72|$0.00|$46.17|37
714|Instant Pot, 6QT Dup plush multi-use pressure cooker/ W whisper-quiet steam release|1.00 EA|$129.99|$10.89|$140.88|3 y/ Avg. /20 y|-$21.13|$119.75|$0.00|$21.13|37
715|various vendors, Developed Photo Allowance|1.00 EA|$100.00|$8.38|$108.38|4y/Avg./0y|-$0.00|$108.38|$0.00|$0.00|37
716|Kohl's, The bread machine|1.00 EA|$99.99|$8.37|$108.36|5 y/ Avg. /10 y|-$54.19|$54.17|$0.00|$54.19|37
717|Werner, 4-Ft Fiberglass type 1a-300- lb load capacity step ladder|1.00 EA|$99.98|$8.37|$108.35|4y/Avg./20y|-$21.67|$86.68|$0.00|$21.67|37
718|Philips, 2000 Series XL air fryer|1.00 EA|$99.95|$8.37|$108.32|3 y/ Avg. /10 y|-$32.50|$75.82|$0.00|$32.50|37
719|Black + Decker, Countertop microwave|1.00 EA|$89.99|$7.54|$97.53|3 y/ Avg. /10 y|-$29.26|$68.27|$0.00|$29.26|37
720|Etsy, Preserved Vegetables Infused Oil Bottles 43cm|3.00 EA|$244.59|$20.48|$265.07|1y/Avg./10y|-$26.51|$238.56|$0.00|$26.51|37
721|EIUBUIE, Silverware set for8|1.00 EA|$79.99|$6.70|$86.69|6 y/ Avg. /20 y|-$26.01|$60.68|$0.00|$26.01|37
722|Corning Ware, Covered square dish 2Qt|1.00 EA|$79.95|$6.70|$86.65|6 y/ Avg. /10 y|-$51.99|$34.66|$0.00|$51.99|37
723|Nutribullet, Personal blender|1.00 EA|$71.99|$6.03|$78.02|3 y/ Avg. /10 y|-$23.41|$54.61|$0.00|$23.41|37
724|Nachtmann, Crystal Vase 11.8 in|1.00 EA|$71.98|$6.03|$78.01|1.08y/Avg./10y|-$8.42|$69.59|$0.00|$8.42|37
725|Wahl, Ultra power heavy duty hair clipper|1.00 EA|$69.99|$5.86|$75.85|3 y/ Avg. /10 y|-$22.76|$53.09|$0.00|$22.76|37
726|Corning Ware, Covered oval dish 2.5 Qt|1.00 EA|$66.40|$5.56|$71.96|6y/Avg./10y|-$43.18|$28.78|$0.00|$43.18|37
727|Carthage, Bakeware casserole set 3pcs|1.00 EA|$64.00|$5.36|$69.36|3 y/ Avg. /10 y|-$20.81|$48.55|$0.00|$20.81|37
728|Shun Cutlery, Chopping Block|1.00 EA|$63.00|$5.28|$68.28|4y/Avg./20y|-$13.66|$54.62|$0.00|$13.66|37
729|Spark Paws, Dog Warmshiled water- resistnat jackets|1.00 EA|$61.00|$2.67|$63.67|3 y/ Avg. /8 y|-$23.88|$39.79|$0.00|$23.88|37
730|Cuisinart, Hand mixer|1.00 EA|$59.99|$5.02|$65.01|3 y/ Avg. /10 y|-$19.51|$45.50|$0.00|$19.51|37
731|Tramontina, 13-Gal step trash can, stainless steel|1.00 EA|$59.98|$5.02|$65.00|3 y/ Avg. /10 y|-$19.50|$45.50|$0.00|$19.50|37
732|Claritin, Non-drowsy 24hr allergy relief tablets 45ct|1.00 EA|$58.95|$0.00|$58.95|0.33y/ Avg. /3 y|-$6.48|$52.47|$0.00|$6.48|37
733|Viiv, multi use wrap & sinus pillow|1.00 EA|$56.99|$4.77|$61.76|3 y/ Avg. /10 y|-$18.53|$43.23|$0.00|$18.53|37
734|Fabdog, Dog reversible puffer|1.00 EA|$52.00|$4.36|$56.36|3 y/ Avg. /5 y|-$33.82|$22.54|$0.00|$33.82|37
736|La View, Indoor wi-fi security camera/monitor|1.00 EA|$50.00|$4.19|$54.19|3.42y/Avg./10y|-$18.53|$35.66|$0.00|$18.53|37
737|Corning Ware, Covered round dish 2. 5 Qt|1.00 EA|$49.99|$4.19|$54.18|6y/Avg./20y|-$16.26|$37.92|$0.00|$16.26|37
738|Corning Ware, Covered round dish 1.5 Qt|1.00 EA|$49.99|$4.19|$54.18|6y/Avg./20y|-$16.26|$37.92|$0.00|$16.26|38
739|Presto, Professional salald shooter|1.00 EA|$49.99|$4.19|$54.18|3 y/ Avg. /10 y|-$16.26|$37.92|$0.00|$16.26|38
740|Braun, Thermoscan ear thermometer|1.00 EA|$49.99|$0.00|$49.99|3 y/ Avg. /10 y|-$15.00|$34.99|$0.00|$15.00|38
741|Fal, Non-stick fry pan|2.00 EA|$99.98|$8.37|$108.35|3 y/ Avg. /20 y|-$16.26|$92.09|$0.00|$16.26|38
742|Cambridge, Flatwate set 20pcs|2.00 EA|$99.98|$8.37|$108.35|3 y/ Avg. /20 y|-$16.26|$92.09|$0.00|$16.26|38
743|Santorini, Vinsanto 100ml|1.00 EA|$49.97|$0.00|$49.97|3 y/ Avg. / o y|-$0.00|$49.97|$0.00|$0.00|38
744|Mikasa, Baron Crystal Vase|1.00 EA|$49.90|$4.18|$54.08|2y/Avg./10y|-$10.82|$43.26|$0.00|$10.82|38
745|Sur la table, Digital kettle/w infuser|1.00 EA|$48.90|$4.10|$53.00|3 y/ Avg. /10 y|-$15.90|$37.10|$0.00|$15.90|38
746|Kirkland Signature, Puppy chicken and pea formula food for dogs, 20lb|1.00 EA|$48.00|$4.02|$52.02|0.17y/Avg./5y|-$1.77|$50.25|$0.00|$1.77|38
